Source.Name,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
season-0809,30/11/2008,Ath Bilbao,Numancia,2,0,H,2,0,H,16,15,8,1,19,16,7,9,2,4,1,0
season-0809,30/11/2008,Ath Madrid,Santander,4,1,H,2,1,H,6,14,4,2,17,13,1,8,4,1,0,1
season-0809,30/11/2008,Espanol,Sp Gijon,0,1,A,0,1,A,18,10,2,3,21,21,6,5,4,1,0,0
season-0809,30/11/2008,Malaga,Osasuna,4,2,H,0,0,D,14,12,6,3,20,20,6,6,4,3,0,0
season-0809,30/11/2008,Recreativo,Villarreal,1,2,A,0,2,A,14,11,2,5,18,16,11,6,1,3,0,0
season-0809,30/11/2008,Valencia,Betis,3,2,H,2,0,H,12,18,4,5,18,17,3,8,3,3,1,0
season-0809,30/11/2008,Valladolid,Mallorca,3,0,H,1,0,H,12,6,9,4,16,14,5,3,2,5,0,0
season-0809,06/12/2008,Barcelona,Valencia,4,0,H,2,0,H,17,5,7,2,15,20,3,3,0,5,0,0
season-0809,06/12/2008,Sp Gijon,Ath Madrid,2,5,A,1,2,A,19,20,4,9,16,10,9,8,2,4,0,0
season-0809,06/12/2008,Villarreal,Getafe,3,3,D,0,3,A,20,10,7,3,15,21,5,1,1,3,0,0
season-0809,07/12/2008,Betis,Espanol,1,1,D,0,0,D,26,14,4,5,9,14,11,9,2,3,0,0
season-0809,07/12/2008,La Coruna,Malaga,2,0,H,0,0,D,16,10,5,3,18,22,8,8,2,2,0,0
season-0809,07/12/2008,Mallorca,Recreativo,2,3,A,2,2,D,17,10,4,7,19,20,7,2,3,3,0,0
season-0809,07/12/2008,Numancia,Almeria,2,1,H,1,1,D,15,16,2,2,15,19,7,4,4,5,1,0
season-0809,07/12/2008,Osasuna,Valladolid,3,3,D,2,0,H,14,8,6,3,19,10,7,6,4,1,0,0
season-0809,07/12/2008,Real Madrid,Sevilla,3,4,A,1,3,A,25,16,13,8,15,19,9,1,3,5,1,0
season-0809,07/12/2008,Santander,Ath Bilbao,1,1,D,0,0,D,14,12,2,6,14,16,8,3,2,1,0,1
season-0809,13/12/2008,Barcelona,Real Madrid,2,0,H,0,0,D,19,6,8,3,13,19,11,4,3,5,0,0
season-0809,13/12/2008,Valencia,Espanol,2,1,H,0,1,A,22,7,6,3,20,18,11,1,4,4,0,1
season-0809,14/12/2008,Almeria,Santander,1,1,D,0,1,A,7,9,4,1,17,17,10,4,5,3,0,1
season-0809,14/12/2008,Ath Bilbao,Sp Gijon,3,0,H,3,0,H,16,7,7,1,12,14,10,7,1,3,0,0
season-0809,14/12/2008,Ath Madrid,Betis,2,0,H,1,0,H,17,10,7,3,14,15,1,6,1,3,0,0
season-0809,14/12/2008,Getafe,Mallorca,4,1,H,2,1,H,12,14,5,7,17,24,2,6,2,6,0,0
season-0809,14/12/2008,Malaga,Numancia,2,0,H,0,0,D,13,11,5,2,13,14,4,3,3,2,0,0
season-0809,14/12/2008,Recreativo,Osasuna,1,0,H,0,0,D,7,13,3,7,12,16,9,6,1,2,0,0
season-0809,14/12/2008,Sevilla,Villarreal,1,0,H,1,0,H,26,4,8,1,23,12,10,0,2,2,0,1
season-0809,14/12/2008,Valladolid,La Coruna,3,0,H,2,0,H,12,9,6,3,9,8,4,6,1,2,0,0
season-0809,20/12/2008,Espanol,Ath Madrid,2,3,A,0,1,A,21,13,8,5,16,14,5,4,2,3,0,0
season-0809,20/12/2008,Real Madrid,Valencia,1,0,H,1,0,H,19,20,6,4,18,16,9,12,4,2,0,1
season-0809,21/12/2008,Betis,Ath Bilbao,0,1,A,0,1,A,12,12,1,4,16,22,4,5,0,2,0,0
season-0809,21/12/2008,La Coruna,Recreativo,4,1,H,3,1,H,21,6,7,2,9,18,9,2,4,1,0,0
season-0809,21/12/2008,Mallorca,Sevilla,0,0,D,0,0,D,15,7,2,1,20,13,8,3,3,4,0,0
season-0809,21/12/2008,Numancia,Valladolid,4,3,H,1,1,D,11,19,7,6,9,7,4,10,4,3,0,0
season-0809,21/12/2008,Osasuna,Getafe,5,2,H,4,0,H,12,14,8,7,16,14,7,5,1,4,0,0
season-0809,21/12/2008,Santander,Malaga,1,1,D,0,1,A,15,14,3,5,17,16,5,3,3,3,0,0
season-0809,21/12/2008,Sp Gijon,Almeria,1,0,H,1,0,H,8,10,3,4,17,12,6,9,5,2,0,0
season-0809,21/12/2008,Villarreal,Barcelona,1,2,A,0,0,D,8,16,1,7,17,22,4,7,3,2,0,1
season-0809,03/01/2009,Barcelona,Mallorca,3,1,H,1,1,D,18,6,8,3,11,17,5,0,4,4,0,1
season-0809,03/01/2009,Valencia,Ath Madrid,3,1,H,2,1,H,16,11,6,5,18,20,2,3,2,3,0,0
season-0809,04/01/2009,Almeria,Betis,1,0,H,1,0,H,10,17,3,5,18,14,4,6,2,1,1,1
season-0809,04/01/2009,Ath Bilbao,Espanol,1,1,D,0,1,A,16,10,6,5,22,23,8,5,3,5,0,0
season-0809,04/01/2009,Getafe,La Coruna,1,2,A,1,1,D,14,12,4,3,17,10,5,4,6,5,0,0
season-0809,04/01/2009,Malaga,Sp Gijon,1,0,H,1,0,H,14,6,8,2,11,19,5,1,1,3,0,0
season-0809,04/01/2009,Real Madrid,Villarreal,1,0,H,1,0,H,16,14,6,6,24,20,7,11,2,4,0,0
season-0809,04/01/2009,Recreativo,Numancia,3,1,H,1,0,H,10,12,4,4,16,14,4,5,3,0,0,0
season-0809,04/01/2009,Sevilla,Osasuna,1,1,D,0,0,D,15,13,3,1,19,12,11,3,5,3,0,0
season-0809,04/01/2009,Valladolid,Santander,0,1,A,0,0,D,8,9,3,4,8,15,11,4,1,4,0,0
season-0809,10/01/2009,La Coruna,Sevilla,1,3,A,1,0,H,20,8,4,4,13,15,10,1,1,2,0,1
season-0809,10/01/2009,Valencia,Villarreal,3,3,D,2,1,H,19,23,7,10,14,21,8,11,1,3,0,0
season-0809,11/01/2009,Ath Madrid,Ath Bilbao,2,3,A,1,1,D,12,9,2,4,21,16,11,8,7,4,1,0
season-0809,11/01/2009,Betis,Malaga,1,2,A,1,1,D,21,20,9,7,13,13,4,4,1,2,2,0
season-0809,11/01/2009,Espanol,Almeria,2,2,D,0,1,A,23,9,9,3,15,27,4,3,5,3,0,0
season-0809,11/01/2009,Mallorca,Real Madrid,0,3,A,0,2,A,14,11,3,6,24,20,9,0,6,3,0,0
season-0809,11/01/2009,Numancia,Getafe,2,0,H,1,0,H,14,7,5,3,21,15,3,3,1,3,0,1
season-0809,11/01/2009,Osasuna,Barcelona,2,3,A,0,1,A,6,17,5,9,11,11,2,7,2,3,0,0
season-0809,11/01/2009,Santander,Recreativo,1,1,D,1,1,D,10,10,2,5,17,12,4,5,3,3,0,0
season-0809,11/01/2009,Sp Gijon,Valladolid,2,1,H,2,0,H,8,6,6,2,22,14,2,12,3,1,0,1
season-0809,17/01/2009,Barcelona,La Coruna,5,0,H,3,0,H,21,1,10,0,8,12,9,4,0,0,0,1
season-0809,17/01/2009,Sevilla,Numancia,1,0,H,0,0,D,20,10,2,5,21,21,9,6,4,3,0,1
season-0809,18/01/2009,Almeria,Ath Madrid,1,1,D,1,1,D,11,18,3,4,17,18,10,7,3,2,1,1
season-0809,18/01/2009,Ath Bilbao,Valencia,3,2,H,2,2,D,14,17,7,6,15,16,4,1,4,2,0,1
season-0809,18/01/2009,Getafe,Santander,0,1,A,0,1,A,16,6,3,1,11,24,6,3,3,6,0,0
season-0809,18/01/2009,Malaga,Espanol,4,0,H,1,0,H,10,16,9,5,16,16,4,4,0,2,0,0
season-0809,18/01/2009,Real Madrid,Osasuna,3,1,H,0,1,A,19,5,6,3,16,21,5,1,3,3,0,1
season-0809,18/01/2009,Recreativo,Sp Gijon,2,0,H,1,0,H,17,13,4,1,19,22,4,4,2,4,0,0
season-0809,18/01/2009,Valladolid,Betis,1,3,A,1,1,D,14,11,2,9,10,14,4,2,0,3,0,0
season-0809,18/01/2009,Villarreal,Mallorca,2,0,H,2,0,H,9,17,6,6,9,13,1,2,0,1,0,0
season-0809,24/01/2009,Barcelona,Numancia,4,1,H,0,0,D,24,4,8,2,14,13,3,2,2,3,0,1
season-0809,24/01/2009,Villarreal,Osasuna,1,1,D,1,0,H,12,9,8,4,19,24,5,10,2,2,0,0
season-0809,25/01/2009,Almeria,Ath Bilbao,2,1,H,2,0,H,16,8,5,4,16,10,10,8,1,4,0,0
season-0809,25/01/2009,Getafe,Sp Gijon,5,1,H,2,1,H,22,9,10,5,12,21,7,6,2,2,0,0
season-0809,25/01/2009,Malaga,Ath Madrid,1,1,D,1,1,D,16,19,5,10,15,14,6,4,3,3,0,0
season-0809,25/01/2009,Mallorca,Valencia,3,1,H,3,0,H,22,12,10,1,14,11,8,6,1,1,0,0
season-0809,25/01/2009,Real Madrid,La Coruna,1,0,H,1,0,H,18,9,6,2,9,14,8,3,2,2,0,0
season-0809,25/01/2009,Recreativo,Betis,1,0,H,0,0,D,10,11,3,4,14,18,4,3,4,3,0,0
season-0809,25/01/2009,Sevilla,Santander,0,2,A,0,1,A,17,12,5,7,16,23,4,4,1,6,0,1
season-0809,25/01/2009,Valladolid,Espanol,1,1,D,1,0,H,22,13,7,4,22,18,6,7,1,4,0,0
season-0809,31/01/2009,Ath Bilbao,Malaga,3,2,H,1,1,D,21,16,6,4,13,20,3,2,2,3,0,0
season-0809,31/01/2009,Numancia,Real Madrid,0,2,A,0,0,D,13,13,3,5,17,14,6,2,2,2,0,1
season-0809,01/02/2009,Ath Madrid,Valladolid,1,2,A,0,0,D,10,12,2,2,16,11,4,5,2,2,0,0
season-0809,01/02/2009,Betis,Getafe,2,2,D,2,0,H,6,26,2,10,18,12,2,15,3,4,1,0
season-0809,01/02/2009,Espanol,Recreativo,1,1,D,0,0,D,10,14,5,5,16,18,6,8,2,2,1,0
season-0809,01/02/2009,La Coruna,Villarreal,3,0,H,1,0,H,17,10,12,4,20,16,5,4,3,4,0,0
season-0809,01/02/2009,Osasuna,Mallorca,1,0,H,1,0,H,9,13,3,2,20,24,9,8,3,3,1,2
season-0809,01/02/2009,Santander,Barcelona,1,2,A,0,0,D,7,8,4,2,21,12,2,3,1,2,0,2
season-0809,01/02/2009,Sp Gijon,Sevilla,1,0,H,0,0,D,13,15,4,9,21,16,3,7,2,2,1,0
season-0809,01/02/2009,Valencia,Almeria,3,2,H,2,1,H,9,12,5,5,23,17,4,4,3,2,0,0
season-0809,07/02/2009,Real Madrid,Santander,1,0,H,0,0,D,14,12,5,3,17,11,10,5,4,3,0,0
season-0809,07/02/2009,Sevilla,Betis,1,2,A,0,0,D,18,15,4,7,17,22,6,2,2,5,1,0
